task_name,planned_end,actual_end,percent_complete,milestone,owner
Sandbox Environment Setup,2026-06-10,,60,no,K. Desai
Vendor onboarding task 1,2026-06-30,,55,no,K. Desai
Vendor onboarding task 2,2026-06-30,,55,no,K. Desai
Vendor onboarding task 3,2026-06-30,,55,no,K. Desai
Vendor onboarding task 4,2026-06-30,,55,no,K. Desai
Vendor onboarding task 5,2026-06-30,,55,no,K. Desai
Vendor onboarding task 6,2026-06-30,,55,no,K. Desai
Vendor onboarding task 7,2026-06-30,,55,no,K. Desai
Vendor onboarding task 8,2026-06-30,,55,no,K. Desai
Vendor onboarding task 9,2026-06-30,,55,no,K. Desai
